"Country","sub-national","Eco_region","Year","Management_level","Sector","Location","Site","site_corrected","Station","Station_corrected","family","density.ind.ha.","sd_density","biomass.kg.ha.","sd_biomass","Organization"
"Comoros","Mwali","Mwali","2016","Partially Restricted","Moheli island","Moheli National Park","Moheli","Mirereni","Mereni","Mirereni","Scarinae",88,52,5,5,"CORDIO"
"Comoros","Mwali","Mwali","2016","Partially Restricted","Moheli island","Moheli National Park","Moheli","Mirereni","Mereni","Mirereni","Epinephelidae",96,73,7,8,"CORDIO"
"Comoros","Mwali","Mwali","2016","Partially Restricted","Moheli island","Moheli National Park","Moheli","Nioumachoua","Nioumachoua","Nioumachoua","Scarinae",40,40,6,7,"CORDIO"
"Comoros","Mwali","Mwali","2016","Partially Restricted","Moheli island","Moheli National Park","Moheli","Nioumachoua","Nioumachoua","Nioumachoua","Epinephelidae",48,44,6,5,"CORDIO"
"Comoros","Mwali","Mwali","2016","Partially Restricted","Moheli island","Moheli National Park","Moheli","Mirereni","Sambia","Sambia","Scarinae",576,533,88,94,"CORDIO"
"Comoros","Mwali","Mwali","2016","Partially Restricted","Moheli island","Moheli National Park","Moheli","Mirereni","Sambia","Sambia","Epinephelidae",64,61,13,14,"CORDIO"
"Comoros","Mwali","Mwali","2016","Partially Restricted","Moheli island","Moheli National Park","Moheli","Sambia_W","Sambia_Reserve","Sambia_West","Scarinae",560,117,68,26,"CORDIO"
"Comoros","Mwali","Mwali","2016","Partially Restricted","Moheli island","Moheli National Park","Moheli","Sambia_W","Sambia_Reserve","Sambia_West","Epinephelidae",144,83,11,13,"CORDIO"
"Comoros","Ndzuani","Ndzuani","2018","Open access","Anjouan Island","Ouani","Anjouan","Ouani_01","A","Mtsaka","Scarinae",510,247,144,77,"CORDIO"
"Comoros","Ndzuani","Ndzuani","2018","Open access","Anjouan Island","Ouani","Anjouan","Ouani_01","A","Mtsaka","Epinephelidae",10,20,2,4,"CORDIO"
"Comoros","Ndzuani","Ndzuani","2018","Partially Restricted","Anjouan Island","Shisiwani National Park","Anjouan","Habwanajibou","B","Habwanajibou_01","Scarinae",220,173,79,70,"CORDIO"
"Comoros","Ndzuani","Ndzuani","2018","Partially Restricted","Anjouan Island","Shisiwani National Park","Anjouan","Habwanajibou","B","Habwanajibou_01","Epinephelidae",80,76,24,20,"CORDIO"
"Comoros","Ndzuani","Ndzuani","2018","Partially Restricted","Anjouan Island","Pomoni","Dzindri Yantsini","Dzindri Yantsini","Dzindri Yantsini","Dzindri Yantsini","Epinephelidae",22.22,38.49,1.14,1.97,"DAHARI"
"Comoros","Ngazidja","Ngazidja","2018","Partially Restricted","Grand Comore","Mitsamiuli Ndroude National Park","Grand_Comore","Mitsamiuli","A","GC_A_P_SC05","Scarinae",627,696,98,96,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2018","Partially Restricted","Grand Comore","Mitsamiuli Ndroude National Park","Grand_Comore","Mitsamiuli","A","GC_A_P_SC05","Epinephelidae",107,123,15,19,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2018","Open access","Grand Comore","Bambao","Grand_Comore","Iconi_01","B","MW_E_P_SC10","Scarinae",33,39,34,70,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2018","Open access","Grand Comore","Bambao","Grand_Comore","Iconi_01","B","MW_E_P_SC10","Epinephelidae",160,91,36,35,"CORDIO"
"Comoros","Ndzuani","Ndzuani","2018","Partially Restricted","Anjouan Island","Pomoni","Hamare_01","Hamare_01","Hamare_01","Hamare_01","Epinephelidae",55.56,69.39,0.64,1.06,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2018","Partially Restricted","Anjouan Island","Pomoni","Hamare_01","Hamare_01","Hamare_01","Hamare_01","Scarinae",11.11,19.25,0.03,0.05,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2018","Partially Restricted","Anjouan Island","Pomoni","Hamare_02","Hamare_02","Hamare_02","Hamare_02","Scarinae",22.22,38.49,0.06,0.1,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2018","Partially Restricted","Anjouan Island","Pomoni","Mabamboni","Mabamboni","Mabamboni","Mabamboni","Epinephelidae",44.44,38.49,0.07,0.06,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2018","Partially Restricted","Anjouan Island","Pomoni","Mabamboni","Mabamboni","Mabamboni","Mabamboni","Scarinae",66.67,115.47,1.68,2.91,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2018","Partially Restricted","Anjouan Island","Pomoni","Madjibaridi","Madjibaridi","Madjibaridi","Madjibaridi","Epinephelidae",11.11,19.25,0.53,0.91,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2018","Partially Restricted","Anjouan Island","Pomoni","Madjibaridi","Madjibaridi","Madjibaridi","Madjibaridi","Scarinae",66.67,57.74,0.18,0.16,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2018","Partially Restricted","Anjouan Island","Pomoni","Mnadzijou","Mnadzijou","Mnadzijou","Mnadzijou","Scarinae",66.67,88.19,0.93,1.53,"DAHARI"
"Comoros","Mwali","Mwali","2018","Open access","Moheli Island",NA,"Moheli","Point Ouani","A","Point Ouani","Scarinae",153,155,185,145,"CORDIO"
"Comoros","Mwali","Mwali","2018","Open access","Moheli Island",NA,"Moheli","Point Ouani","A","Point Ouani","Epinephelidae",13,21,4,6,"CORDIO"
"Comoros","Mwali","Mwali","2018","Open access","Moheli Island",NA,"Moheli","Djirani","B_-_N","Djirani","Scarinae",40,44,65,85,"CORDIO"
"Comoros","Mwali","Mwali","2018","Open access","Moheli Island",NA,"Moheli","Djirani","B_-_N","Djirani","Epinephelidae",87,47,71,114,"CORDIO"
"Comoros","Mwali","Mwali","2018","Open access","Moheli Island",NA,"Moheli","Djirani","B_-_S","Djirani","Scarinae",227,180,269,295,"CORDIO"
"Comoros","Mwali","Mwali","2018","Open access","Moheli Island",NA,"Moheli","Djirani","B_-_S","Djirani","Epinephelidae",67,48,30,51,"CORDIO"
"Comoros","Mwali","Mwali","2018","Partially Restricted","Moheli island","Moheli National Park","Moheli","Mea","D","Mea","Scarinae",168,59,90,49,"CORDIO"
"Comoros","Mwali","Mwali","2018","Partially Restricted","Moheli island","Moheli National Park","Moheli","Mea","D","Mea","Epinephelidae",88,66,63,116,"CORDIO"
"Comoros","Mwali","Mwali","2018","Partially Restricted","Moheli island","Moheli National Park","Moheli","Ferenga","E","Ferenga","Scarinae",960,350,551,242,"CORDIO"
"Comoros","Mwali","Mwali","2018","Partially Restricted","Moheli island","Moheli National Park","Moheli","Ferenga","E","Ferenga","Epinephelidae",133,55,107,80,"CORDIO"
"Comoros","Ndzuani","Ndzuani","2018","Partially Restricted","Anjouan Island","Pomoni","Mrojou","Mrojou","Mrojou","Mrojou","Epinephelidae",7.41,12.83,0.38,0.66,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2018","Partially Restricted","Anjouan Island","Pomoni","Mrojou","Mrojou","Mrojou","Mrojou","Scarinae",51.85,89.81,7.3,12.64,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2019","Partially Restricted","Anjouan Island","Pomoni","Dzindri Yantsini","Dzindri Yantsini","Dzindri Yantsini","Dzindri Yantsini","Epinephelidae",22.22,38.49,0.04,0.06,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2019","Partially Restricted","Anjouan Island","Pomoni","Dzindri Yantsini","Dzindri Yantsini","Dzindri Yantsini","Dzindri Yantsini","Scarinae",22.22,38.49,0.06,0.1,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2019","Partially Restricted","Anjouan Island","Pomoni","Hamare_01","Hamare_01","Hamare_01","Hamare_01","Scarinae",22.22,38.49,1.56,2.7,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2019","Partially Restricted","Anjouan Island","Pomoni","Mabamboni","Mabamboni","Mabamboni","Mabamboni","Scarinae",22.22,38.49,0.06,0.1,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2019","Partially Restricted","Anjouan Island","Pomoni","Mnadzijou","Mnadzijou","Mnadzijou","Mnadzijou","Scarinae",44.44,38.49,1.62,2.65,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2020","Partially Restricted","Anjouan Island","Pomoni","Dzindri Yantsini","Dzindri Yantsini","Dzindri Yantsini","Dzindri Yantsini","Scarinae",88.89,50.92,4.73,2.38,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2020","Partially Restricted","Anjouan Island","Pomoni","Hamare_01","Hamare_01","Hamare_01","Hamare_01","Epinephelidae",77.78,38.49,0.13,0.06,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2020","Partially Restricted","Anjouan Island","Pomoni","Hamare_01","Hamare_01","Hamare_01","Hamare_01","Scarinae",77.78,69.39,0.21,0.19,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2020","Partially Restricted","Anjouan Island","Pomoni","Hamare_02","Hamare_02","Hamare_02","Hamare_02","Epinephelidae",22.22,19.25,0.55,0.9,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2020","Partially Restricted","Anjouan Island","Pomoni","Hamare_02","Hamare_02","Hamare_02","Hamare_02","Scarinae",11.11,19.25,0.03,0.05,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2020","Partially Restricted","Anjouan Island","Pomoni","Mabamboni","Mabamboni","Mabamboni","Mabamboni","Epinephelidae",155.56,101.84,4.34,4.84,"DAHARI"
