"","data source/owner","Country","Year","Sector","Site","Station","Benthic category.x","Benthic code.x","Alg","Benthic category.y","Benthic code.y","HC"
"57","Spalding & Jarvis 2002","Sychelles","1998","Southern Sychelles","North St Pierre",NA,"Macroalgae","AMAC",1,"Hard Coral","HC",64
"58","Spalding & Jarvis 2002","Sychelles","1998","Southern Sychelles","North St Pierre",NA,"Macroalgae","AMAC",1,"Hard Coral","HC",64
"59","Spalding & Jarvis 2002","Sychelles","1998","Southern Sychelles","South St Pierre",NA,"Macro-algae","AMAC",11,"Hard Coral","HC",29
"60","Spalding & Jarvis 2002","Sychelles","1998","Southern Sychelles","South St Pierre",NA,"Macro-algae","AMAC",11,"Hard Coral","HC",29
"61","Spalding & Jarvis 2002","Sychelles","1998","Southern Sychelles","West alphonse",NA,"Macro-algae","AMAC",20,"Hard Coral","HC",48
"62","Spalding & Jarvis 2002","Sychelles","1998","Southern Sychelles","West alphonse",NA,"Macro-algae","AMAC",20,"Hard Coral","HC",48
"63","Spalding & Jarvis 2002","Sychelles","1997","Granitic Seychelles","West cousine",NA,"Macro-algae","AMAC",11,"Hard Coral","HC",33
"64","Spalding & Jarvis 2002","Sychelles","1997","Granitic Seychelles","West cousine",NA,"Macro-algae","AMAC",11,"Hard Coral","HC",33
"65","Spalding & Jarvis 2002","Sychelles","1997","Granitic Seychelles","West cousine",NA,"Macroalgae","AMAC",4,"Hard Coral","HC",33
"66","Spalding & Jarvis 2002","Sychelles","1997","Granitic Seychelles","West cousine",NA,"Macroalgae","AMAC",4,"Hard Coral","HC",33
"67","Ahamada et al. 2002","Reunion","2000","Etang Sale","Bassin Pirogue",NA,"Macro-algae","AMAC",9.4,"Hard Coral","HC",50.3
"68","Ahamada et al. 2002","Reunion","2000","Etang Sale","Bassin Pirogue",NA,"Macro-algae","AMAC",9.4,"Hard Coral","HC",57.8
"69","Ahamada et al. 2002","Reunion","2000","Etang Sale","Bassin Pirogue",NA,"Macro-algae","AMAC",9.4,"Hard Coral","HC",50.3
"70","Ahamada et al. 2002","Reunion","2000","Etang Sale","Bassin Pirogue",NA,"Macro-algae","AMAC",9.4,"Hard Coral","HC",57.8
"71","Ahamada et al. 2002","Reunion","2000","Etang Sale","Bassin Pirogue",NA,"Macro-algae","AMAC",31.8,"Hard Coral","HC",50.3
"72","Ahamada et al. 2002","Reunion","2000","Etang Sale","Bassin Pirogue",NA,"Macro-algae","AMAC",31.8,"Hard Coral","HC",57.8
"73","Ahamada et al. 2002","Reunion","2000","Etang Sale","Bassin Pirogue",NA,"Macro-algae","AMAC",31.8,"Hard Coral","HC",50.3
"74","Ahamada et al. 2002","Reunion","2000","Etang Sale","Bassin Pirogue",NA,"Macro-algae","AMAC",31.8,"Hard Coral","HC",57.8
"75","Ahamada et al. 2002","Reunion","2000","St Pierre","Ravine Blanche",NA,"Macro-algae","AMAC",18.9,"Hard Coral","HC",58.1
"76","Ahamada et al. 2002","Reunion","2000","St Pierre","Ravine Blanche",NA,"Macro-algae","AMAC",18.9,"Hard Coral","HC",58.1
"77","Quod & Bigot 2000","Madagascar","1999",NA,"south-western region of Toliara","Ifaty","Recently dead coral with algae","RDC",14.1,"Live coral","HC",54.8
"78","Quod & Bigot 2000","Madagascar","1999",NA,"south-western region of Toliara","Nosy Ve","Recently dead coral with algae","RDC",26,"Live coral","HC",68.3
"79","Quod & Bigot 2000","Comoros","1999",NA,"Mitsamiouli","North-West Mitsamiouli Reef","Recently dead coral with algae","RDC",15,"Live coral","HC",55
"80","Quod & Bigot 2000","Comoros","1999",NA,"Mohéli island","Itsamia","Recently dead coral with algae","RDC",18,"Live coral","HC",54
"81","Quod & Bigot 2000","Reunion","1999","yes","La Saline","Trois Chameaux - I","Macro-algae","AMAC",7.5,"live coral","HC",32.5
"82","Quod & Bigot 2000","Mayotte","1999",NA,"Surprise","Reef Flat","Recently dead coral with algae","RDC",90,"Live Coral","HC",94.6
"83","Quod & Bigot 2000","Mayotte","1999",NA,"Surprise","Deeper Reefs","Recently dead coral with algae","RDC",69.2,"Live Coral","HC",97.2
"84","Quod & Bigot 2000","Mayotte","1999",NA,"Geyser bank",NA,"Recently dead coral with algae","RDC",25,"Live Coral","HC",59.3
"85","Motta_et_al._2002","Mozambique","2000","Inhambane","Barra","Anchor's_Bay","Macro-algae","AMAC",0,NA,"HC",10.8
"86","Motta_et_al._2002","Mozambique","2000","Inhambane","Barra","Mike's_Cub_Board","Macro-algae","AMAC",0,NA,"HC",7.8
"87","Motta_et_al._2002","Mozambique","2000","Inhambane","Bazaruto_Archipelago","Two-mile_Reef","Macro-algae","AMAC",0.1,NA,"HC",85.6
"88","Motta_et_al._2002","Mozambique","2000","Maputo","Inhaca_Island","Baixo_Danae","Macro-algae","AMAC",0,NA,"HC",31.1
"89","Motta_et_al._2002","Mozambique","2000","Maputo","Inhaca_Island","Barreira_Vermelha","Macro-algae","AMAC",0,NA,"HC",61.8
"90","Motta_et_al._2002","Mozambique","2000","Maputo","Inhaca_Island","Ponta_Torres","Macro-algae","AMAC",0,NA,"HC",55.1
"91","Motta_et_al._2002","Mozambique","2000","Nampula_Province","Mozambique_Island","Goa_Island","Macro-algae","AMAC",1.9,NA,"HC",42.1
"92","Motta_et_al._2002","Mozambique","2000","Nampula_Province","Mozambique_Island","Sete_Paus_Island","Macro-algae","AMAC",0,NA,"HC",51.7
"93","Motta_et_al._2002","Mozambique","2000","Pemba_Bay","Pemba","Ponta_Maunhane","Macro-algae","AMAC",0,NA,"HC",78.1
"94","Motta_et_al._2002","Mozambique","2000","Quirimbas_Archipelago","Sencar","Sencar_Channel","Macro-algae","AMAC",0,NA,"HC",31.8
