"Country","Year","Sector","Location","Site","Reef_type","Management_level","Management_type","Depth..m.","Latitude","Longitude","number_replicates","Method","Observer","level1_code","mean_cover","sd","se","Organization","Source"
"Comoros","2016","Moheli island","Moheli National Park","Boinaidi","","Partially Restricted","National Park",NA,"-12.406","43.715","15","","","Bare substrate","5.08",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Boinaidi","","Partially Restricted","National Park",NA,"-12.406","43.715","15","","","Hard coral","39.06",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Boinaidi","","Partially Restricted","National Park",NA,"-12.406","43.715","15","","","Coralline algae","0",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Boinaidi","","Partially Restricted","National Park",NA,"-12.406","43.715","15","","","Other inverts","1.9",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Boinaidi","","Partially Restricted","National Park",NA,"-12.406","43.715","15","","","Sand","2.99",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Boinaidi","","Partially Restricted","National Park",NA,"-12.406","43.715","15","","","Macro-algae","0.53",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Boinaidi","","Partially Restricted","National Park",NA,"-12.406","43.715","15","","","Rubble","11.04",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Boinaidi","","Partially Restricted","National Park",NA,"-12.406","43.715","15","","","Soft coral","0",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Boinaidi","","Partially Restricted","National Park",NA,"-12.406","43.715","15","","","Dead standing coral","3.77",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Boinaidi","","Partially Restricted","National Park",NA,"-12.406","43.715","15","","","TWS","0",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Boinaidi","","Partially Restricted","National Park",NA,"-12.406","43.715","15","","","Turf algae","35.62",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Damu","","Partially Restricted","National Park",NA,"-12.314","43.631","15","","","Bare substrate","8.83",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Damu","","Partially Restricted","National Park",NA,"-12.314","43.631","15","","","Hard coral","30.24",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Damu","","Partially Restricted","National Park",NA,"-12.314","43.631","15","","","Coralline algae","0",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Damu","","Partially Restricted","National Park",NA,"-12.314","43.631","15","","","Other inverts","0.53",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Damu","","Partially Restricted","National Park",NA,"-12.314","43.631","15","","","Sand","2.13",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Damu","","Partially Restricted","National Park",NA,"-12.314","43.631","15","","","Macro-algae","0.27",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Damu","","Partially Restricted","National Park",NA,"-12.314","43.631","15","","","Rubble","5.1",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Damu","","Partially Restricted","National Park",NA,"-12.314","43.631","15","","","Soft coral","1.6",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Damu","","Partially Restricted","National Park",NA,"-12.314","43.631","15","","","Dead standing coral","3.52",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Damu","","Partially Restricted","National Park",NA,"-12.314","43.631","15","","","TWS","0",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Damu","","Partially Restricted","National Park",NA,"-12.314","43.631","15","","","Turf algae","47.77",NA,NA,"CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Ferenga","","Partially Restricted","National Park",NA,"-12.428","43.696","9","","","Bare substrate","2.67",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Ferenga","","Partially Restricted","National Park",NA,"-12.428","43.696","9","","","Hard coral","20.72",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Ferenga","","Partially Restricted","National Park",NA,"-12.428","43.696","9","","","Coralline algae","0",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Ferenga","","Partially Restricted","National Park",NA,"-12.428","43.696","9","","","Other inverts","2.22",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Ferenga","","Partially Restricted","National Park",NA,"-12.428","43.696","9","","","Sand","21.33",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Ferenga","","Partially Restricted","National Park",NA,"-12.428","43.696","9","","","Macro-algae","0.44",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Ferenga","","Partially Restricted","National Park",NA,"-12.428","43.696","9","","","Rubble","10.24",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Ferenga","","Partially Restricted","National Park",NA,"-12.428","43.696","9","","","Soft coral","0.44",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Ferenga","","Partially Restricted","National Park",NA,"-12.428","43.696","9","","","Dead standing coral","1.33",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Ferenga","","Partially Restricted","National Park",NA,"-12.428","43.696","9","","","TWS","0",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Ferenga","","Partially Restricted","National Park",NA,"-12.428","43.696","9","","","Turf algae","40.59",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mchaco","","Partially Restricted","National Park",NA,"-12.383","43.875","15","","","Bare substrate","20.8",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mchaco","","Partially Restricted","National Park",NA,"-12.383","43.875","15","","","Hard coral","6.14",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mchaco","","Partially Restricted","National Park",NA,"-12.383","43.875","15","","","Coralline algae","0",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mchaco","","Partially Restricted","National Park",NA,"-12.383","43.875","15","","","Other inverts","0.53",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mchaco","","Partially Restricted","National Park",NA,"-12.383","43.875","15","","","Sand","0",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mchaco","","Partially Restricted","National Park",NA,"-12.383","43.875","15","","","Macro-algae","3.2",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mchaco","","Partially Restricted","National Park",NA,"-12.383","43.875","15","","","Rubble","4.83",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mchaco","","Partially Restricted","National Park",NA,"-12.383","43.875","15","","","Soft coral","4",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mchaco","","Partially Restricted","National Park",NA,"-12.383","43.875","15","","","Dead standing coral","0",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mchaco","","Partially Restricted","National Park",NA,"-12.383","43.875","15","","","TWS","0",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mchaco","","Partially Restricted","National Park",NA,"-12.383","43.875","15","","","Turf algae","60.49",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mea","","Partially Restricted","National Park",NA,"-12.382","43.74","5","","","Bare substrate","0",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mea","","Partially Restricted","National Park",NA,"-12.382","43.74","5","","","Hard coral","11.2",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mea","","Partially Restricted","National Park",NA,"-12.382","43.74","5","","","Coralline algae","0",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mea","","Partially Restricted","National Park",NA,"-12.382","43.74","5","","","Other inverts","0.8",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mea","","Partially Restricted","National Park",NA,"-12.382","43.74","5","","","Sand","46.4",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mea","","Partially Restricted","National Park",NA,"-12.382","43.74","5","","","Macro-algae","0",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mea","","Partially Restricted","National Park",NA,"-12.382","43.74","5","","","Rubble","4.8",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mea","","Partially Restricted","National Park",NA,"-12.382","43.74","5","","","Soft coral","3.2",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mea","","Partially Restricted","National Park",NA,"-12.382","43.74","5","","","Dead standing coral","1.6",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mea","","Partially Restricted","National Park",NA,"-12.382","43.74","5","","","TWS","0",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mea","","Partially Restricted","National Park",NA,"-12.382","43.74","5","","","Turf algae","32",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mirereni","","Partially Restricted","National Park",NA,"-12.34","43.65","6","","","Bare substrate","6",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mirereni","","Partially Restricted","National Park",NA,"-12.34","43.65","6","","","Hard coral","43.33",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mirereni","","Partially Restricted","National Park",NA,"-12.34","43.65","6","","","Coralline algae","0",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mirereni","","Partially Restricted","National Park",NA,"-12.34","43.65","6","","","Other inverts","0",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mirereni","","Partially Restricted","National Park",NA,"-12.34","43.65","6","","","Sand","2",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mirereni","","Partially Restricted","National Park",NA,"-12.34","43.65","6","","","Macro-algae","0.67",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mirereni","","Partially Restricted","National Park",NA,"-12.34","43.65","6","","","Rubble","17.33",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mirereni","","Partially Restricted","National Park",NA,"-12.34","43.65","6","","","Soft coral","0",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mirereni","","Partially Restricted","National Park",NA,"-12.34","43.65","6","","","Dead standing coral","1.33",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mirereni","","Partially Restricted","National Park",NA,"-12.34","43.65","6","","","TWS","0",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Mirereni","","Partially Restricted","National Park",NA,"-12.34","43.65","6","","","Turf algae","29.33",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Nioumachoua","","Partially Restricted","National Park",NA,"-12.37","43.711","24","","","Bare substrate","8.04","5.23","3.7","CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Nioumachoua","","Partially Restricted","National Park",NA,"-12.37","43.711","24","","","Hard coral","53.23","13.08","9.25","CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Nioumachoua","","Partially Restricted","National Park",NA,"-12.37","43.711","24","","","Coralline algae","0","0","0","CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Nioumachoua","","Partially Restricted","National Park",NA,"-12.37","43.711","24","","","Other inverts","0.46","0.65","0.46","CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Nioumachoua","","Partially Restricted","National Park",NA,"-12.37","43.711","24","","","Sand","0.17","0.24","0.17","CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Nioumachoua","","Partially Restricted","National Park",NA,"-12.37","43.711","24","","","Macro-algae","0.17","0.24","0.17","CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Nioumachoua","","Partially Restricted","National Park",NA,"-12.37","43.711","24","","","Rubble","5.46","3.72","2.63","CORDIO","RLE 2019"
